month,repository_language,pushes
2012-11,Logtalk,106
2012-11,Boo,150
2012-11,Parrot,127
2012-11,Bro,22
2012-11,Rebol,57
2012-11,XQuery,177
2012-11,Factor,61
2012-11,Io,44
2012-11,Nimrod,22
2012-11,Nemerle,49
2012-11,Mirah,6
2012-11,Turing,2
2012-11,Self,6
2012-11,eC,2
2012-11,Fantom,1
2012-11,Nu,77
2012-11,Opa,33
2012-11,AppleScript,106
2012-11,Ioke,18
2012-11,Kotlin,129
2012-11,Dylan,100
2012-11,Ecl,15
2012-11,Eiffel,274
2012-11,Augeas,45
2012-11,Smalltalk,466
2012-11,C++,124315
2012-10,Nu,44
2012-10,PowerShell,1166
2012-10,Rust,1210
2012-10,Verilog,889
2012-10,F#,1155
2012-10,R,5997
2012-10,ActionScript,5040
2012-10,Puppet,5843
2012-10,Clojure,8193
2012-10,ASP,1371
2012-10,CoffeeScript,12827
2012-10,Rebol,22
2012-10,Go,9443
2012-10,Matlab,2573
2012-10,Ada,174
2012-10,Visual Basic,1773
2012-10,Assembly,1789
2012-10,OCaml,3083
2012-10,C,124718
2012-10,ooc,6
2012-10,Mirah,2
2012-10,Turing,9
2012-10,Haskell,10576
2012-10,Java,262720
2012-10,C++,114963
2012-10,null,230494
2012-10,JavaScript,426622
2012-10,Ruby,229309
2012-10,Lua,9559
2012-10,Python,201615
2012-10,Prolog,834
2012-10,C#,45128
2012-10,VimL,28697
2012-10,Objective-C,38970
2012-10,Shell,62534
2012-10,PHP,199536
2012-10,Perl,27984
2012-10,Emacs Lisp,12071
2012-10,Erlang,6584
2012-10,Arduino,1817
2012-10,Julia,689
2012-10,Scala,14614
2012-10,ColdFusion,1015
2012-10,Augeas,29
2012-10,XQuery,95
2012-10,Eiffel,196
2012-10,SuperCollider,138
2012-10,VHDL,594
2012-10,Objective-J,110
2012-10,Arc,17
2012-10,Elixir,550
2012-10,Tcl,335
2012-10,Vala,389
2012-10,OpenEdge ABL,371
2012-10,AutoHotkey,337
2012-10,Nemerle,94
2012-10,Apex,258
2012-10,Smalltalk,370
2012-10,Scilab,80
2012-10,Standard ML,262
2012-10,Logtalk,93
2012-10,Fancy,33
2012-10,Delphi,1827
2012-10,Opa,124
2012-10,Racket,1713
2012-10,Kotlin,135
2012-10,Gosu,54
2012-10,FORTRAN,1509
2012-10,Common Lisp,2883
2012-10,Dart,2162
2012-10,Boo,79
2012-10,Parrot,171
2012-10,Fantom,9
2012-10,Ioke,26
2012-10,Io,32
2012-10,HaXe,1549
2012-10,Groovy,5757
2012-10,Dylan,42
2012-10,Coq,396
2012-10,Ecl,43
2012-10,Ceylon,23
2012-10,Bro,29
2012-10,Factor,310
2012-10,Scheme,1621
2012-10,D,3723
2012-10,AppleScript,114
2012-10,Nimrod,32
2012-10,DCPU-16 ASM,94
2012-10,Max,23
2012-10,Pure Data,124
2012-09,Groovy,6230
2012-09,Scala,17955
2012-09,VimL,36558
2012-09,Erlang,5824
2012-09,Go,11367
2012-09,Puppet,5601
2012-09,Perl,41127
2012-09,Haskell,12803
2012-09,Parrot,222
2012-09,Emacs Lisp,16563
2012-09,Common Lisp,2799
2012-09,OCaml,3353
2012-09,Objective-C,43262
2012-09,C#,52332
2012-09,Scilab,213
2012-09,Elixir,713
2012-09,CoffeeScript,15675
2012-09,Shell,69691
2012-09,ActionScript,6769
2012-09,Lua,16257
2012-09,D,2944
2012-09,Racket,1466
2012-09,FORTRAN,1463
2012-09,Vala,659
2012-09,Nemerle,345
2012-09,Objective-J,184
2012-09,Julia,762
2012-09,Apex,379
2012-09,ColdFusion,1439
2012-09,OpenEdge ABL,512
2012-09,HaXe,1234
2012-09,Dart,1768
2012-09,Delphi,2130
2012-09,PowerShell,1075
2012-09,ASP,1166
2012-09,F#,999
2012-09,JavaScript,506853
2012-09,PHP,238902
2012-09,Java,276111
2012-09,null,274613
2012-09,Clojure,9260
2012-09,Ruby,279663
2012-09,Python,241494
2012-09,C++,134341
2012-09,C,145901
2012-09,R,6845
2012-09,Rebol,127
2012-09,Augeas,4
2012-09,Fancy,71
2012-09,Io,49
2012-09,Logtalk,75
2012-09,Kotlin,144
2012-09,Pure Data,120
2012-09,Prolog,1066
2012-09,Smalltalk,620
2012-09,XQuery,220
2012-09,Opa,24
2012-09,Eiffel,140
2012-09,Ioke,46
2012-09,Scheme,1663
2012-09,Nu,86
2012-09,AppleScript,121
2012-09,VHDL,712
2012-09,Dylan,104
2012-09,Gosu,36
2012-09,Tcl,427
2012-09,Standard ML,272
2012-09,Nimrod,39
2012-09,DCPU-16 ASM,68
2012-09,Fantom,28
2012-09,SuperCollider,128
2012-09,Max/MSP,1
2012-09,Visual Basic,2102
2012-09,Matlab,2899
2012-09,Coq,447
2012-09,Ecl,7
2012-09,Mirah,6
2012-09,Max,14
2012-09,Arc,25
2012-09,Ceylon,18
2012-09,Rust,1653
2012-09,AutoHotkey,292
2012-09,Assembly,1444
2012-09,Factor,909
2012-09,Arduino,2701
2012-09,Verilog,762
2012-09,Bro,22
2012-09,Boo,19
2012-09,Turing,8
2012-09,Ada,151
2012-08,Perl,386152
2012-08,Clojure,22328
2012-08,Python,493082
2012-08,C,278202
2012-08,JavaScript,979266
2012-08,Fantom,26
2012-08,Ruby,556422
2012-08,null,500002
2012-08,C++,283850
2012-08,Haskell,26224
2012-08,PHP,478528
2012-08,Fancy,84
2012-08,Boo,94
2012-08,Turing,50
2012-08,ooc,448
2012-08,Rebol,46
2012-08,Logtalk,74
2012-08,Gosu,284
2012-08,Opa,164
2012-08,Max,46
2012-08,Mirah,8
2012-08,Nu,14
2012-08,Max/MSP,4
2012-08,eC,2
2012-08,HaXe,4364
2012-08,Self,8
2012-08,VHDL,1454
2012-08,Tcl,618
2012-08,Delphi,3652
